Date,AAPL,MSFT
2018-06-26,43.57754898071289,92.12334442138672
2018-06-27,43.51374816894531,90.69148254394531
2018-06-28,43.83035659790039,91.70497131347656
2018-06-29,43.73820877075195,91.68636322021484
2018-07-02,44.2273063659668,92.98806762695312
2018-07-03,43.45703125,92.09548950195312
2018-07-05,43.80672073364258,92.75560760498047
2018-07-06,44.413978576660156,94.05732727050781
2018-07-09,45.030662536621094,94.69886016845703
2018-07-10,44.97633361816406,94.94993591308594
2018-07-11,44.3927116394043,94.81975555419922
2018-07-12,45.136993408203125,96.87459564208984
2018-07-13,45.207881927490234,98.02752685546875
2018-07-16,45.108646392822266,97.54403686523438
2018-07-17,45.23624038696289,98.51101684570312
2018-07-18,44.98814010620117,97.7392807006836
2018-07-19,45.33784103393555,97.06983947753906
2018-07-20,45.23388671875,98.80851745605469
